Time (s),Voltage (V),Current (mA),Charge (mA.h),Temperature (degC)
51953.400467653984,2.7950726,-499.99033,4796.6378041238595,21.927633
51954.40046770148,2.7946,-499.83261,4796.77666638355,22.195435999999997
51955.40046774899,2.7942063999999998,-499.99033,4796.9155279641745,22.250572000000002
51956.400467796484,2.7940093999999998,-499.93118,4797.054390640091,22.022152
51957.40046784398,2.7936158,-499.87204,4797.1932537760085,21.785854
51958.400467891486,2.7932222,-499.91147,4797.332116966656,22.100918
51959.400467938984,2.7929859,-499.9509,4797.470980201147,22.124548
51960.40046798647,2.7926316000000004,-499.89175,4797.609843369872,22.195435999999997
51961.400468033964,2.7923560000000003,-499.85233,4797.74870593623,21.777977
51962.40046808146,2.7920411,-499.85233,4797.887570298803,21.746471
51963.400468128966,2.7916081000000004,-499.79318,4798.026433358037,22.053658
51964.40046817646,2.7914112,-499.85233,4798.165296833481,22.124548
51965.40046822397,2.7908993,-499.87204,4798.304160056968,22.156054
51966.400468271466,2.7905450000000003,-499.97060999999997,4798.443024452364,22.124548
51967.40046831896,2.7902299999999998,-499.83261,4798.581888102995,22.108795
51968.400468366446,2.7897971,-499.89175,4798.720752454633,21.91188
51969.40046841394,2.7895215,-499.83261,4798.859614484306,21.848867000000002
51970.40046846145,2.7892064999999997,-499.91147,4798.998478375941,22.163930999999998
51971.400468508946,2.7888522,-499.93118,4799.137340471312,22.022152
51972.400468556436,2.7885372999999998,-499.91147,4799.27620348672,22.211189
51973.40046860393,2.7882222999999997,-499.99033,4799.415067159341,22.037907
51974.40046865144,2.7877891,-499.91147,4799.553930711417,22.085165
51975.400468698936,2.7874347999999998,-499.93118,4799.692794449701,22.140301
51976.40046874643,2.7871199,-499.99033,4799.831657936097,21.974894
51977.40046879394,2.7867262000000004,-499.83261,4799.970521378666,21.762226000000002
51978.400468841435,2.7864506,-499.87204,4800.109385555064,22.116671
51979.40046888893,2.7860174,-499.91147,4800.248248471901,22.132423
51980.400468936416,2.7858207000000004,-499.83261,4800.387111520235,22.061535
51981.40046898391,2.7853875,-499.85233,4800.525974929897,21.714966
51982.40046903142,2.7851119,-499.93118,4800.664837594843,21.840992
51983.400469078915,2.7847182999999998,-499.85233,4800.803700588397,21.998522
51984.40046912641,2.7844033,-499.93118,4800.942564249998,22.250572000000002
51985.40046917392,2.7840097000000004,-499.99033,4801.081426750677,22.037907
51986.400469221415,2.7836161,-499.85233,4801.220289700387,22.069412
51987.40046926892,2.7833798,-499.91147,4801.359153767261,22.037907
51988.400469316395,2.7829466,-499.97060999999997,4801.4980180093735,21.896128
51989.4004693639,2.7827106,-499.85233,4801.636880849575,21.785854
51990.4004694114,2.782238,-499.9509,4801.775743339285,21.817362
51991.40046945889,2.7818837000000003,-499.99033,4801.914607208999,22.030029000000003
51992.400469506385,2.7815687999999996,-499.93118,4802.0534706734725,21.982769
51993.40046955389,2.7811751,-499.89175,4802.192333886008,22.108795
51994.40046960139,2.7808208,-499.89175,4802.331197262844,21.919756
51995.40046964888,2.7805058999999996,-499.89175,4802.470060442556,22.140301
51996.400469696375,2.7801909,-499.99033,4802.608924082235,21.935510999999998
51997.40046974388,2.7797971,-499.89175,4802.747787294838,21.935510999999998
51998.40046979138,2.7794034,-499.93118,4802.886650178833,21.880373000000002
51999.40046983887,2.7790492,-500.0889,4803.025512460429,22.171808
52000.400469886365,2.7786949,-499.87204,4803.164375990617,22.171808
52001.40046993387,2.778301,-499.85233,4803.303239247011,22.116671
52002.40046998137,2.777986,-499.89175,4803.442102974327,22.045782
52003.400470028864,2.7776711,-499.97060999999997,4803.580965387368,21.990645999999998
52004.40047007637,2.7772775000000003,-499.9509,4803.7198275375185,21.91188
52005.40047012387,2.7768838,-499.89175,4803.858690071038,22.25845
52006.400470171364,2.7766082,-499.97060999999997,4803.997552024044,22.022152
52007.40047021885,2.7762146,-499.89175,4804.136414338496,22.116671
52008.400470266344,2.7758601,-499.93118,4804.275277978244,22.077288
52009.40047031385,2.7754271,-499.89175,4804.414140840335,21.840992
52010.40047036135,2.7751122,-499.8129,4804.553003702444,21.998522
52011.40047040884,2.7747185,-499.89175,4804.691865907372,22.069412
52012.40047045634,2.7743642000000004,-499.93118,4804.830729349975,22.329338
52013.40047050384,2.7739703999999996,-499.93118,4804.969592518752,22.030029000000003
52014.400470551336,2.7736161,-499.85233,4805.108456979895,22.037907
52015.400470598826,2.7731437999999997,-499.87204,4805.247320280083,21.848867000000002
52016.40047064633,2.7729075,-499.87204,4805.386184620751,22.069412
52017.40047069383,2.7725532000000004,-499.89175,4805.525047482791,22.211189
52018.400470741326,2.7721592999999998,-499.87204,4805.6639107501205,22.156054
52019.400470788816,2.771805,-499.97060999999997,4805.802773645069,22.195435999999997
52020.40047083632,2.7714507999999998,-499.93118,4805.941636726157,22.085165
