#"Step" "Potential Energy (kJ/mole)" "Temperature (K)"
125000 22149.265148509123 283.8756038192723
125500 22043.692125666716 295.5919380814124
126000 22100.156578410246 302.1200681260409
126500 22161.836345065214 299.3873473899071
127000 22152.805782664396 302.51082871716864
127500 22153.254682887175 296.9029010639466
128000 22142.15826593695 296.29595799588236
128500 22138.933260787107 308.92195587884186
129000 22154.949068773367 296.8254248288704
129500 22166.902974236586 293.90310635300557
130000 22144.752273429014 303.98830928152097
130500 22148.782842028715 293.40157602352167
131000 22131.46252189932 302.1797461048525
131500 22066.185801852323 301.40192976356354
132000 22131.64161192236 298.51788630011606
132500 22160.76324974356 314.0521092436421
133000 22180.878962863066 306.6183208116716
133500 22129.666900981047 305.1219906172668
134000 22279.779378283598 316.8000498669896
134500 22202.002107012846 315.7357592012377
135000 22183.897821772673 304.4459823044286
135500 22131.61470280943 290.7982743941227
136000 22134.759351122953 307.8689299322449
136500 22167.085192549803 310.0728847512492
137000 22273.017219889738 305.745154880914
137500 22164.17300163565 311.6055624394604
138000 22186.522627223112 311.3651983654048
138500 22180.755061495878 325.2776772412685
139000 22137.640151370146 291.06477261661763
139500 22070.278937686064 277.32351747190785
140000 22092.476302016355 296.64876899981283
140500 22213.81394707022 272.1441748334647
141000 22111.683851588346 294.4922261320959
141500 22098.550862658598 277.4081280291155
142000 22048.230726588346 273.40344527143264
142500 22020.46785627661 289.3770172947078
143000 22211.86550175009 289.6646431237954
143500 22182.639252651312 308.30637652609227
144000 22141.220253337004 296.8471281877754
144500 22117.422399747946 301.93127143300535
145000 22131.53885303793 293.9034317782256
145500 22113.29667078314 302.8771323513756
146000 22124.491022456266 305.46103363111905
146500 22129.203702080824 319.2844210948224
147000 22288.421851504423 315.2441167919009
147500 22172.843365061857 306.598494905959
148000 22159.893465388395 296.11479627916293
148500 22163.903876889326 301.44358419172727
149000 22217.83994137106 273.1146679377203
149500 22081.831184733488 298.0570090904266
150000 22058.102016556837 301.8009511487382
150500 22198.44354795275 289.4297361803525
151000 22151.25489841757 298.08469526683837
151500 22143.831217158415 299.8401390345143
152000 22120.04711066542 287.55320919811635
152500 22090.727878916838 310.4717809728777
153000 22130.427008021452 308.5988587007711
153500 22170.266912806608 304.0825323990741
154000 22163.81059299765 332.09533560088636
154500 22208.117888796904 326.10533370664047
155000 22191.40422378836 318.1656842864887
155500 22284.59816490469 317.0628933139365
156000 22215.23043094931 311.53677255448804
156500 22244.14990602789 304.2028395996481
157000 22222.340331423857 310.2230059085198
157500 22138.314390528776 314.56873429679354
158000 22080.681539881803 296.4595717834295
158500 21937.214299548246 302.57210878937116
159000 22139.663803446867 294.60084305745806
159500 22126.470597613432 309.2965954052235
160000 22114.522627223112 295.0556873842223
160500 22183.3369582778 288.22100678232607
161000 22169.697503436186 300.7207396799141
161500 22114.242299426176 317.88186342920454
162000 22110.50456463156 294.8641370931711
162500 22113.85245071707 286.98759513299586
163000 22004.33000122366 303.43098104315663
163500 22090.51095424948 289.00986254838676
164000 22118.790737021543 323.12661653687366
164500 22039.00365840254 312.25894118315193
165000 22132.8337129241 311.5173471721232
165500 22201.287255156614 310.36371476711867
166000 22148.967729914762 307.2222849873371
166500 22166.844879019834 295.1118107183228
167000 22167.854636538603 307.834134466411
167500 22178.589777577497 331.9355267851426
168000 22189.003772843458 295.8423152391613
168500 22146.96149479208 287.0749092228007
169000 22115.240621913053 299.6973023956306
169500 22048.594555247404 282.20364413688856
170000 21995.281828749754 295.83440490304366
170500 22140.304573405363 284.79705784614043
171000 22194.767005789854 285.7867510383778
171500 22117.63482509909 285.1924995538948
172000 22192.304817545988 279.8872674207186
172500 22083.208373416044 298.8781320186887
173000 22131.761311877348 303.1199746636454
173500 22102.105243075468 297.33801961583526
174000 22054.640447009184 305.02040788319914
174500 22123.697975504972 306.43763471642757
175000 22094.20599972067 284.37275342464045
175500 22043.56536136923 306.72443446611044
176000 22061.41487823782 303.33553132285107
176500 22102.135374415495 299.77695647641013
177000 22111.602372277357 274.8804001488911
177500 21982.550369608976 290.75639467157583
178000 22068.311514962294 283.54399552006225
178500 22037.421238291838 300.3016921273531
179000 22154.563669550993 298.9415649038852
179500 22189.65201174078 298.7756981725071
180000 22185.913997996427 305.90140905194664
180500 22178.522391665556 306.84944781602024
181000 22168.261311877348 313.26087537020425
181500 22241.61210190115 305.2442503691609
182000 22228.87584804354 315.7176104870438
182500 22130.70705210028 310.93956721031543
183000 22059.712246287443 321.66485651391963
183500 22113.91653477011 289.07760105957135
184000 22061.60290371237 273.0129600401065
184500 22023.45122753439 284.917314981296
185000 22120.700905192472 282.359347588318
185500 22128.4291914588 285.90247725316215
186000 22124.3124569541 298.06459400132417
186500 22135.25035797415 286.1967117174873
187000 22066.496249545195 312.0177259969824
187500 22089.85578786192 297.14296474549144
188000 22093.300148356535 273.0197439043086
188500 22043.62861000357 287.7557738812301
189000 21945.319814193823 292.10978809626
189500 22015.80910240469 267.2797937425916
190000 22076.719955790617 288.4058983727213
190500 22059.283975947477 305.5169567035456
191000 22070.982581484892 305.92861960688293
191500 22117.554727900602 330.3842497939713
192000 22163.71095167456 306.67962591658335
192500 22100.477221835234 304.09307116966124
193000 22053.36887966452 319.07547307085423
193500 22191.109391558744 299.35615663420276
194000 22052.939778197386 302.23093799523406
194500 22046.452928412535 304.7976918691528
195000 22146.851428378202 298.6257522442012
195500 22120.782901156523 291.413928845
196000 21948.076456416227 302.6033245777847
196500 21886.843970645048 297.4940484924848
197000 21928.000399458982 289.8106839494609
197500 22070.188896048643 290.18434720018246
198000 21979.276377070524 303.9940668046446
198500 21972.306263912298 289.5275139426168
199000 22019.56321166811 282.8063066116739
199500 21998.582544673063 288.6994819866063
200000 22036.71160386858 314.720031991398
200500 22024.136841166594 312.1337526042775
201000 22087.145389903166 290.7014478748093
201500 22032.193018782713 296.89168641021024
202000 22223.426267016508 304.14118403680715
202500 22106.203327525236 295.6749465452292
203000 21996.18597160635 310.6907170478299
203500 22129.109661448576 296.48177579651923
204000 22158.148821223356 316.7582953079889
204500 22196.479862559416 312.70660112236635
205000 22069.66525589285 305.7304606805942
205500 22156.79088341055 284.1257556826381
206000 22043.606347430326 327.12844556570394
206500 22030.26141868887 320.5139276415123
207000 22105.919364321806 308.70206856093887
207500 22124.327858317472 313.4738035949405
208000 22093.63611661253 315.8360402344253
208500 22110.68167828379 314.20525935872985
209000 22078.984474170782 311.53972641417755
209500 22096.231562960722 320.6013418621541
210000 22073.47955833731 295.1740920988946
210500 22058.519801486113 295.6887145353074
211000 22029.342131960966 302.07280637100894
211500 22070.553646433927 305.5542053748844
212000 22086.181785929777 295.8412888980828
212500 22026.620989430525 300.141632984517
213000 21980.37870370207 302.7309413294547
213500 21994.91523586569 294.34348177383316
214000 22122.64673982916 289.44405489003384
214500 22039.89792286215 311.0200974359181
215000 22040.9052842742 280.5110825348059
215500 22039.024759638884 292.2890222943685
216000 21945.926792491056 305.8413806152058
216500 21934.028744090177 302.0456959469096
217000 22032.727381098844 284.4960895830316
217500 22023.815211642363 290.1860994898288
218000 22071.779302943327 292.6153486919304
218500 22059.385886538603 295.67659870403855
219000 22052.768228400328 300.1944019355803
219500 21978.290837634184 304.1410839059702
220000 22122.105209696867 280.4584387472888
220500 21980.41443859396 307.2170531511074
221000 22080.148440707304 295.2016781444694
221500 22101.29119907675 281.43586591200204
222000 22007.44051586447 289.67523195980095
222500 22122.641807902433 280.82419166189277
223000 22086.41309963522 284.66072971165727
223500 22125.291982043364 284.92640185474755
